標的代號,標的名稱,產業
CBOE,芝加哥選擇權交易所全球市場公司,金融服務
CBRE,世邦魏理仕集團公司,房地產
CBS,派拉蒙全球,通訊服務
CCI,皇冠城堡公司,房地產
CCJ,卡梅科公司,能源
CCL,嘉年華公司,非必需消費品
CDNS,Cadence設計系統公司,資訊科技
CDW,CDW Corp/DE,資訊科技
CE,塞拉尼斯公司,原材料
CEG,星座能源公司,公用事業
CELG,賽基有限公司,醫療保健
CERN,塞內公司,醫療保健
CF,CF工業控股公司,原材料
CFG,公民金融集團公司,金融服務
CGC,冠軍成長公司,醫療保健
CGNX,康耐視公司,資訊科技
CGW,Invesco S&P Global Water Index,
CHAU,Direxion Daily滬深300 A股兩倍,
CHD,丘奇及德懷特公司,必需消費品
CHGG,Chegg公司,非必需消費品
CHIQ,全球X MSCI中國非必需消費ETF,
CHIX,全球X MSCI中國金融類股ETF,
CHPT,充電點控股公司,工業
CHRW,羅賓昇國際聯運股份有限公司,工業
CHT,中華電信股份有限公司,通訊服務
CHTR,特許通訊公司,通訊服務
CHWY,Chewy公司,非必需消費品
CI,信諾集團,醫療保健
CIBR,第一信託那斯達克網路安全交易所,
CINF,辛辛那提金融公司,金融服務
CIT,CIT集團,金融服務
CL,高露潔-棕欖公司,必需消費品
CLF,克里夫蘭克里夫公司,原材料
CLOA,iShares AAA CLO Active ETF,
CLOU,Global X Cloud Computing ETF,
CLS,Celestica Inc,資訊科技
CLX,高樂氏公司,必需消費品
CM,加拿大帝國商業銀行,金融服務
CMA,科馬里卡公司,金融服務
CMCSA,康卡斯特公司,通訊服務
CME,芝加哥商品期貨交易所集團,金融服務
CMG,奇波雷墨西哥燒烤公司,非必需消費品
CMI,康明斯公司,工業
CMS,CMS能源,公用事業
CNC,聖丁公司,醫療保健
CNP,Centerpoint能源,公用事業
CNQ,Canadian Natural Resources Ltd,能源
CNXT,市場動力華夏中小企業版創業板ET,
CODX,Co-Diagnostics Inc,醫療保健
COF,第一資本金融公司,金融服務
COG,科特拉能源公司,能源
COH,掛毯公司,非必需消費品
COIN,比特幣基地全球公司,金融服務
COO,Cooper Cos Inc/The,醫療保健
COP,康菲石油,能源
COPX,Global X銅礦ETF,
COR,森科拉公司,醫療保健
COST,好市多公司,必需消費品
COTY,科蒂公司,必需消費品
CPB,金寶公司,必需消費品
CPK,切薩皮克公用事業公司,公用事業
CPNG,酷澎公司,非必需消費品
CPRI,卡布里控股有限公司,非必需消費品
CPRT,科派特公司,工業
