標的代號,標的名稱,產業
MGV,領航巨型股價值型ETF,
MHK,Mohawk工業公司,非必需消費品
MILN,Global X Funds Global X Millen,
MKC,麥科明克公司(馬里蘭州),必需消費品
MLM,Martin Marietta Materials Inc,原材料
MLPA,Global X業主有限合夥ETF,
MLPX,Global X業主有限合夥與能源設備,
MMC,馬什麥克倫南,金融服務
MMM,3M,工業
MMYT,MakeMyTrip Ltd,非必需消費品
MNDY,Monday.com有限公司,資訊科技
MNSO,名創優品集團控股有限公司,非必需消費品
MNST,怪獸飲料公司,必需消費品
MO,高特利集團,必需消費品
MOAT,VanEck晨星寬護城河ETF,
MOH,莫利納醫療保健公司,醫療保健
MOO,VanEck農業企業ETF,
MOS,美盛公司,原材料
MP,MP材料公司,原材料
MPC,馬拉松石油公司,能源
MPWR,芯源系統有限公司,資訊科技
MRK,默克藥廠,醫療保健
MRNA,莫德納公司,醫療保健
MRO,馬拉松石油公司,能源
MRVL,Marvell Technology Inc,資訊科技
MS,摩根士丹利,金融服務
MSCI,MSCI 明晟,金融服務
MSFT,微軟,資訊科技
MSFU,Direxion Daily MSFT Bull 2X Sh,
MSI,摩托羅拉系統公司,資訊科技
MSPL,Metalcrafters Specialties,
MSTR,微策略公司,資訊科技
MT,安賽樂米塔爾,原材料
MTB,M&T銀行公司,金融服務
MTCH,Match Group Inc,通訊服務
MTD,Mettler-Toledo國際公司,醫療保健
MTUM,iShares安碩MSCI美國動能因子交,
MTZ,MasTec公司,工業
MU,美光科技公司,資訊科技
MVIS,MicroVision Inc,資訊科技
MXIM,美信國際股份有限公司,資訊科技
MYL,邁蘭,醫療保健
NATR,自然陽光產品公司,必需消費品
NBIS,尼比厄斯集團公眾有限公司,資訊科技
NBL,諾布爾能源公司,能源
NCLH,挪威郵輪控股有限公司,非必需消費品
NCNO,nCino Inc,資訊科技
NCTY,第九城市,資訊科技
NDAQ,那斯達克有限公司,金融服務
NEE,新紀元能源公司,公用事業
NEM,紐蒙特公司,原材料
NET,Cloudflare公司,資訊科技
NFLX,網飛公司,通訊服務
NI,NiSource公司,公用事業
NIO,蔚來集團,非必需消費品
NIU,牛電科技,非必需消費品
NKE,耐吉公司,非必需消費品
NKTR,內克塔治療,醫療保健
NKTX,Nkarta公司,醫療保健
NLOK,數位世代公司,資訊科技
NLR,VanEck鈾與核能ETF,
NLSN,尼爾森控股有限公司,工業
NNOX,Nano-X成像有限公司,醫療保健
NOC,諾斯洛普格拉曼,工業
NOK,諾基亞,資訊科技
NOV,國民油井華高公司,能源
NOW,ServiceNow公司,資訊科技
NRG,NRG Energy Inc,公用事業
NSC,諾福克南方公司,工業
NTAP,網路應用公司,資訊科技
NTLA,英特利亞治療公司,醫療保健
NTRS,北方信託公司,金融服務
NU,NU控股有限公司(開曼群島),金融服務
NUE,諾可公司,原材料
NUGT,Direxion每日金礦業指數多頭2倍,
NUS,如新企業公司,必需消費品
NVAX,諾瓦瓦克斯公司,醫療保健
NVDA,輝達,資訊科技
NVDL,GraniteShares 2x Long NVDA Dai,
NVO,諾和諾德公司,醫療保健
NVR,NVR Inc,非必需消費品
NVS,諾華公司,醫療保健
NVTS,Navitas Semiconductor Corp,資訊科技
NWL,紐厄爾品牌公司,非必需消費品
NWS,新聞集團,通訊服務
NWSA,新聞集團,通訊服務
NXE,NexGen能源有限公司,能源
NXPI,恩智浦半導體股份有限公司,資訊科技
NXTG,First Trust Indxx NextG ETF,
O,Realty Income Corp,房地產
ODFL,Old Dominion Freight Line公司,工業
OGN,歐嘉隆公司,醫療保健
OHI,歐米茄健康照護投資人公司,房地產
OKE,ONEOK Inc,能源
OKLO,奧科洛公司,公用事業
OLED,環宇顯示技術公司,資訊科技
OMC,奧姆尼康集團,通訊服務
ON,安森美半導體,資訊科技
ONL,獵戶座地產公司,房地產
ONON,昂跑控股股份有限公司,非必需消費品
OPEN,Opendoor Technologies Inc,房地產
ORCL,甲骨文公司,資訊科技
ORKA,方舟生物醫藥公司,醫療保健
ORLY,奧賴利汽車公司,非必需消費品
OTIS,奧的斯電梯公司,工業
OUST,Ouster Inc,資訊科技
OXY,西方石油,能源
PANW,Palo Alto Networks Inc,資訊科技
PARA,派拉蒙全球,通訊服務
PATH,UiPath公司,資訊科技
PAVE,Global X US Infrastructure Dev,
PAYC,Paycom軟體公司,工業
PAYO,Payoneer Global Inc,金融服務
PAYX,Paychex公司,工業
PBCT,人民聯合金融公司,金融服務
PBW,景順WilderHill清潔能源ETF,
PCAR,帕卡公司,工業
PCG,太平洋電力瓦斯公司,公用事業
PCLN,繽客控股公司,非必需消費品
PDD,拼多多控股公司,非必需消費品
PEAK,Healthpeak Properties Inc,房地產
PEG,大眾服務企業集團公司,公用事業
PEJ,景順休閒娛樂ETF,
PEK,VanEck中國成長領袖,
PEP,百事可樂公司,必需消費品
PFE,輝瑞大藥廠股份有限公司,醫療保健
PFF,iShares安碩特別股及收益證券交,
PFFD,Global X US Preferred ETF,
PFG,信安金融保險集團,金融服務
PG,寶僑公司,必需消費品
PGR,先進公司,金融服務
PH,派克漢尼汾公司,工業
PHM,普得集團公司,非必需消費品
PHO,景順水資源ETF,
PICK,iShares MSCI明晟全球金屬及礦業,
PINS,繽趣公司,通訊服務
PK,公園酒店及度假村公司,房地產
PKG,美國包裝公司,原材料
PKI,Revvity公司,醫療保健
PLD,普洛斯,房地產
PLTR,帕蘭提爾科技公司,資訊科技
PLUG,普拉格能源公司,工業
PM,菲利浦莫里斯國際公司,必需消費品
PNC,PNC金融服務集團,金融服務
PNQI,景順那斯達克網路ETF,
PNR,濱特爾公開有限公司,工業
PNW,皮那可資本公司,公用事業
POOL,普爾公司,非必需消費品
PPG,匹茲堡工業,原材料
PPH,VanEck製藥ETF,
PPL,PPL公司,公用事業
PRGO,培利高公開有限公司,醫療保健
PRNT,The 3D Printing ETF,
PRU,保德信金融,金融服務
PSA,公共存儲公司,房地產
PSI,景順半導體ETF,
PSQ,ProShares一倍放空那斯達克指數,
PSX,菲利普66,能源
PTC,參數科技公司,資訊科技
PTH,景順多爾西萊特醫療動能ETF,
PTON,派樂騰健康科技公司,非必需消費品
PVH,PVH公司,非必需消費品
PWR,廣達服務公司,工業
PXD,先鋒自然資源公司,能源
PYPL,Paypal控股有限公司,金融服務
QCLN,第一信託那斯達克清潔先鋒綠色能,
QCOM,高通公司,資訊科技
QD,趣店公司,金融服務
QID,ProShares二倍放空納斯達克指數,
QLD,ProShares二倍做多那斯達克,
QQQ,景順QQQ信託系列1,
QRVO,科沃公司,資訊科技
QS,QuantumScape Corp,非必需消費品
QTEC,第一信託那斯達克-100科技指數基,
QUAL,iShares安碩MSCI美國優質因數交,
QUBT,量子運算公司,資訊科技
QYLD,Global X Nasdaq 100 Covered Ca,
RACE,法拉利公司,非必需消費品
RBLX,Roblox公司,通訊服務
RBNE,Robin Energy Ltd,工業
RCL,皇家加勒比國際遊輪有限公司,非必需消費品
RCON,研控科技有限公司,能源
RDW,紅線公司,工業
RE,Everest集團有限公司,金融服務
REG,Regency Centers公司,房地產
REGN,Regeneron Pharmaceuticals Inc,醫療保健
REM,iShares安碩房地產抵押貸款上限E,
REMX,VanEck稀土與戰略金屬ETF,
RF,區域金融公司,金融服務
RGTI,Rigetti計算公司,資訊科技
RHI,羅致恒富公司,工業
RHT,紅帽公司,資訊科技
RIG,Transocean有限公司,能源
RIO,力拓公開有限公司,原材料
RIOT,Riot平台公司,資訊科技
RJF,Raymond James Financial Inc,金融服務
RKT,洛基特集團股份有限公司,金融服務
RL,雷夫羅倫公司,非必需消費品
RLX,RLX科技公司,必需消費品
RMD,瑞斯邁股份有限公司,醫療保健
RNRG,全球X基金-全球X可再生,
ROBO,Robo全球機器人與自動化指數ETF,
ROBT,First Trust Nasdaq Artificial,
ROK,洛克威爾自動化公司,工業
ROKU,Roku公司,通訊服務
ROL,羅林斯公司,工業
ROP,Roper科技公司,資訊科技
ROST,羅斯百貨公司,非必需消費品
RS,Reliance鋼鋁公司,原材料
RSG,共和服務公司,工業
RSX,VanEck俄羅斯ETF,
RTH,VanEck零售ETF,
RTN,雷神公司,工業
RTX,雷神科技公司,工業
RUN,Sunrun公司,工業
RUSL,Direxion每日俄羅斯多頭2倍股,
RUSS,Direxion每日俄羅斯空頭3倍股,
RVTY,Revvity公司,醫療保健
RWM,ProShares放空型羅素2000,
RXT,雷倍適科技公司,資訊科技
RY,加拿大皇家銀行,金融服務
SAM,波士頓啤酒有限公司,必需消費品
SAP,思愛普,資訊科技
SAVA,卡薩瓦科學公司,醫療保健
SBAC,SBA通訊公司,房地產
SBRA,Sabra醫療保健不動產信託公司,房地產
SBSW,西班伊靜水有限公司,原材料
SBUX,星巴克,非必需消費品
SCCO,Southern Copper Corp,原材料
SCHW,嘉信理財公司,金融服務
SCIF,VanEck印度成長領袖ETF,
SCO,ProShares兩倍做空彭博原油,
SDGR,美國施羅丁格公司,醫療保健
SDIV,全球X超級股利ETF,
SDS,ProShares兩倍放空標準普爾500,
SE,海洋有限公司,通訊服務
SEA,US Global Sea to Sky Cargo ETF,
SEDG,所樂太陽能科技,資訊科技
SEE,希悅爾,原材料
SELX,Semilux International Ltd,資訊科技
SEMR,SEMrush控股公司,資訊科技
SERV,Serve Robotics Inc,非必需消費品
SES,SES人工智慧公司,工業
SFM,豆芽農夫市場公司,必需消費品
SGHC,速博集團SGHC有限公司,非必需消費品
SH,ProShares空頭標普500,
SHEL,殼牌公開有限公司,能源
SHOP,Shopify公司,資訊科技
SHW,薛文威廉公司,原材料
SIL,Global X銀礦業ETF,
SIMO,慧榮科技,資訊科技
SIVB,矽谷銀行金融集團,金融服務
SIVBQ,矽谷銀行金融集團,金融服務
SIXG,Defiance Connective Technologi,
SJM,J M Smucker Co/The,必需消費品
SKF,ProShares二倍放空金融股ETF,
SKX,美商思凱捷股份有限公司,非必需消費品
SKYW,西空航空公司,工業
SKYY,第一信託雲端計算ETF,
SLB,斯倫貝謝公眾有限公司,能源
SLG,SL格林不動產公司,房地產
SLV,iShares白銀信託,
SLVM,思瓦莫公司,原材料
SLVP,iShares安碩MSCI全球白銀礦業ETF,
SLX,市場動力鋼鐵指數基金,
SMCI,超微電腦公司,資訊科技
SMH,VanEck半導體ETF,
SMOG,VanEck低碳能源ETF,
SMR,紐思凱電力公司,工業
SNA,實耐寶公司,工業
SNAP,Snap公司,通訊服務
SNDK,晟碟公司（德拉瓦州）,資訊科技
SNDL,SNDL Inc,醫療保健
SNOW,Snowflake公司,資訊科技
SNPS,新思科技公司,資訊科技
SNSR,Global X Internet of Things ET,
SNY,賽諾菲有限責任公司(法國),醫療保健
SO,南方公司,公用事業
SOCL,Global X社群媒體指數ETF,
SOFI,索菲科技公司,金融服務
SOLV,Solventum公司,醫療保健
SONY,索尼,非必需消費品
SOUN,聲航AI公司,資訊科技
SOXL,Direxion每日三倍做多半導體,
SOXS,Direxion每日三倍放空半導體,
SOXX,iShares安碩半導體交易所交易基,
SPCE,維珍銀河控股公司,工業
SPG,賽門物業集團,房地產
SPGI,標準普爾全球公司,金融服務
SPHD,景順標普500高股利低波動率ETF,
SPOT,聲破天科技有限責任公司,通訊服務
SPSM,SPDR投資組合標普600小型股交易,
SPWR,Complete Solaria Inc,工業
SPXL,Direxion每日標普500多頭3倍,
SPXS,Direxion每日三倍放空標普500,
SPY,SPDR標普500交易所交易基金信託,
SQM,智利化工礦業公司,原材料
SQQQ,Proshares UltraPro短QQQ,
SRE,桑普拉,公用事業
SRLN,SPDR黑石優先貸款ETF,
SSO,ProShares Ultra標普500,
STE,STERIS公開有限公司,醫療保健
STI,梭利典科技公司,工業
STM,意法半導體公司,資訊科技
STT,道富銀行,金融服務
STWD,史塔屋資產信託,金融服務
STX,希捷科技控股公開有限公司,資訊科技
STZ,星座品牌公司,必需消費品
SUSA,iShares安碩ESG優化MSCI ETF,
SUSL,iShares ESG MSCI USA Leaders E,
SVXY,ProShares賣空VIX短期期貨ETF,
SW,斯默菲特韋斯特洛克公開有限公司,原材料
SWK,史丹利百得公司,工業
SWKS,思佳訊半導體有限公司,資訊科技
SY,北京新氧科技有限公司,通訊服務
SYF,同步金融,金融服務
SYK,史賽克,醫療保健
SYMC,數位世代公司,資訊科技
SYY,西斯柯公司,必需消費品
T,AT&T公司,通訊服務
TAN,Invesco Solar ETF,
TAP,摩紳庫爾斯飲料公司,必需消費品
TASK,TaskUS Inc,工業
TBF,ProShares放空20年以上公債,
TBT,ProShares二倍放空20年以上公債,
TD,多倫多道明銀行,金融服務
TDG,TransDigm集團公司,工業
TDIV,First Trust NASDAQ Technology,
TDOC,Teladoc公司,醫療保健
TDY,得立達科技公司,資訊科技
TE,T1能源公司,工業
TECH,Bio-Techne Corp,醫療保健
TEL,TE Connectivity PLC,資訊科技
TEM,Tempus AI公司,醫療保健
TER,泰瑞達公司,資訊科技
TFC,Truist金融公司,金融服務
TFX,Teleflex Inc,醫療保健
TGT,目標百貨公司,必需消費品
THD,iShares安碩MSCI泰國ETF,
THNPY,德西尼布能源公司,能源
TIF,蒂芙尼公司,非必需消費品
TIP,iShares安碩抗通膨債券ETF,
TJX,TJX公司,非必需消費品
TLRY,迪瑞品牌公司,醫療保健
TLS,Telos Corp,資訊科技
TLT,iShares安碩20年以上公債ETF,
TM,豐田汽車公司,非必需消費品
TMC,TMC the metals co Inc,原材料
TME,騰訊音樂娛樂集團,通訊服務
TMF,Direxion每日三倍做多20年期以上,
TMK,環球人壽公司,金融服務
TMO,賽默飛世爾科技有限公司,醫療保健
TMUS,T-Mobile美國公司,通訊服務
TMV,Direxion每日三倍放空20年期以上,
TPA,摩根士丹利,金融服務
TPC,Tutor Perini Corp,工業
TPR,掛毯公司,非必需消費品
TQQQ,ProShares UltraPro QQQ,
TRAW,Traws製藥公司,醫療保健
TRIP,貓途鷹公司,通訊服務
TRMB,天寶公司,資訊科技
TROW,普徠仕集團公司,金融服務
TRUP,楚潘尼恩公司,金融服務
TRV,旅行者保險公司,金融服務
TSCO,曳引車供應公司,非必需消費品
TSLA,特斯拉公司,非必需消費品
TSLL,Direxion Daily TSLA Bull 2X Sh,
TSM,台灣積體電路製造股份有限公司,資訊科技
TSMX,Direxion Daily TSM Bull 2X Sha,
TSN,泰森食品,必需消費品
TSS,Total System服務公司,
TT,特靈科技公開有限公司,工業
TTD,交易台公司,通訊服務
TTWO,Take-Two互動軟體公司,通訊服務
TUR,iShares安碩MSCI土耳其交易所交,
TUYA,塗鴉智能,資訊科技
TWLO,Twilio公司,資訊科技
TWM,ProShares超短期羅素2000,
TWTR,推特,通訊服務
TWX,美國時代華納,通訊服務
TXN,德州儀器公司,資訊科技
TXT,德事隆公司,工業
TYL,Tyler Technologies Inc,資訊科技
U,Unity軟體公司,資訊科技
UA,安德瑪公司,非必需消費品
UAA,安德瑪公司,非必需消費品
UAL,聯合航空控股公司,工業
UBER,優步科技公司,工業
UBS,瑞銀集團公司,金融服務
UCO,ProShares兩倍彭博原油,
UDN,景順德銀美元指數放空基金,
UDR,UDR公司,房地產
UEC,鈾能源公司,能源
UGL,ProShares超黃金,
UHS,環球健康服務公司,醫療保健
UI,優博通公司,資訊科技
ULTA,猶他美容公司,非必需消費品
UMAC,Unusual Machines Inc /US,資訊科技
UMC,聯華電子股份有限公司,資訊科技
UNG,美國天然氣基金有限合夥,
UNH,聯合健康集團公司,醫療保健
UNM,Unum集團,金融服務
UNP,聯合太平洋公司,工業
UPS,聯合包裹服務公司,工業
UPST,Upstart Holdings Inc,金融服務
URA,Global X鈾ETF,
URI,聯合租賃公司,工業
USB,美國合眾銀行,金融服務
USNA,優桑那健康科學公司,必需消費品
USO,美國石油基金有限合夥公司,
UTX,雷神科技公司,工業
UUP,景順德銀美元指數多頭基金,
UVXY,ProShares兩倍VIX短期期貨,
UWM,ProShares Ultra羅素2000,
UYG,ProShares二倍做多金融股ETF,
V,威士卡,金融服務
VAC,萬豪全球度假公司,非必需消費品
VALE,淡水河谷,原材料
VAR,瓦里安醫療系統公司,醫療保健
VAW,領航原物料ETF,
VB,領航小型股ETF,
VBK,領航小型股成長型ETF,
VBR,領航小型股價值型ETF,
VCIT,領航中期公司債ETF,
VCLT,領航長期公司債ETF,
VCR,領航非核心消費ETF,
VCSH,領航短期公司債ETF,
VDC,領航核心消費ETF,
VDE,領航能源ETF,
VEA,領航富時已開發市場ETF,
VEEV,Veeva系統公司,醫療保健
VEU,先鋒富時全球美國除外ETF,
VFC,VF公司,非必需消費品
VFH,領航金融類股ETF,
VGIT,領航中期政府債券ETF,
VGK,先鋒富時歐洲ETF,
VGLT,領航長期政府債券ETF,
VGSH,領航短期政府債券ETF,
VGT,領航資訊科技交易所交易基金,
VHT,領航醫療保健ETF,
VIAB,維康,通訊服務
VIG,領航股利增值交易所交易基金,
VIOO,Vanguard S&P Small-Cap 600 ETF,
VIOV,Vanguard S&P Small-Cap 600 Val,
VIS,先鋒工業指數基金,
VIXY,ProShares VIX短期期貨ETF,
VKTX,維京治療公司,醫療保健
VLO,瓦勒羅能源,能源
VLTO,Veralto公司,工業
VMBS,領航抵押貸款證券ETF,
VMC,瓦爾坎材料公司,原材料
VNM,VanEck越南ETF,
VNO,維納多不動產信託公司,房地產
VNQ,領航不動產ETF,
VNQI,領航全球(美國除外)不動產ETF,
VNT,Vontier Corp,資訊科技
VO,領航中型股ETF,
VOE,領航中型股價值型ETF,
VONE,Vanguard Russell 1000,
VONG,領航羅素1000成長交易所交易基金,
VONV,領航羅素1000價值,
VOO,先鋒標普500ETF,
VOOG,領航標普500成長指數ETF,
VOOV,Vanguard S&P 500 Value ETF,
VOT,領航中型股成長型ETF,
VOX,領航通訊服務交易所交易基金,
VPL,先鋒富時太平洋ETF,
VPU,領航公用事業ETF,
VRSK,Verisk Analytics Inc,工業
VRSN,維聖公司,資訊科技
VRT,維諦控股公司,工業
VRTX,福泰製藥公司,醫療保健
VSGX,Vanguard ESG International Sto,
VSS,先鋒富時美國除外小型股ETF,
VST,維斯達能源公司,公用事業
VT,先鋒全世界股票ETF,
VTC,Vanguard Total Corporate Bond,
VTEB,先鋒免稅型債券指數ETF,
VTI,先鋒整體市場指數基金,
VTIP,領航短期抗通膨證券ETF,
VTR,Ventas公司,房地產
VTRS,暉致公司,醫療保健
VTV,先鋒價值型ETF,
VTWO,先鋒羅素2000指數ETF,
VTWV,Vanguard Russell 2000 Value,
VUG,領航成長型ETF,
VUZI,Vuzix公司,資訊科技
VV,先鋒大型股ETF,
VWO,先鋒富時新興市場ETF,
VWOB,領航新興市場政府債券ETF,
VXF,先鋒延展市場ETF,
VXUS,先鋒全部國際股票ETF,
VYM,領航高股利收益ETF,
VZ,威瑞森電信公司,通訊服務
WAB,西屋空氣制動技術公司,工業
WAT,沃特斯公司,醫療保健
WBA,沃博聯公司,必需消費品
WBD,華納兄弟探索公司,通訊服務
WCG,維家保健公司,醫療保健
WDAY,Workday公司,資訊科技
WDC,威騰電子公司,資訊科技
WDS,伍德賽德能源集團有限公司,能源
WEC,WEC能源集團公司,公用事業
WELL,威爾塔公司,房地產
WFC,富國銀行,金融服務
WFCPX,Allspring Managed Account Core,
WHR,惠而浦公司,非必需消費品
WLTW,威利斯韜睿惠悅公司,金融服務
WM,廢棄物管理,工業
WMB,威廉斯公司,能源
WMT,沃爾瑪公司,必需消費品
WOLF,Wolfspeed公司,資訊科技
WOOD,iShares全球木材及林業ETF,
WRB,W.R.柏克利公司,金融服務
WRD,文遠知行公司,非必需消費品
WRK,西岩公司,原材料
WST,West Pharmaceutical Services I,醫療保健
WTW,威利斯韜睿惠悅公司,金融服務
WU,西聯匯款公司,金融服務
WWR,西水資源公司,工業
WY,惠好公司,房地產
WYNN,永利度假村有限公司,非必需消費品
XAR,SPDR標普航太與國防ETF,
XBI,SPDR標普生技ETF,
XEC,西馬萊克斯能源公司,能源
XEL,Xcel 能源,公用事業
XES,SPDR標普油氣設備及服務ETF,
XLB,SPDR原料指數基金,
XLC,通信服務精選行業SPDR基金,通訊服務
XLE,能源精選行業SPDR基金,
XLF,思柏達金融指數基金,
XLI,思柏達工業指數基金,
XLK,思柏達科技指數基金,
XLNX,賽靈思公司,資訊科技
XLP,思柏達核心消費指數基金,
XLRE,Real Estate Select Sector SPDR,
XLU,SPDR公用事業精選行業基金,
XLV,思柏達健康護理指數基金,
XLY,思柏達非核心消費指數基金,
XME,SPDR標普金屬與礦產業ETF,
XOM,埃克森美孚公司,能源
XOP,SPDR標普油氣開採及生產ETF,
XPEV,小鵬汽車有限公司,非必需消費品
XPP,ProShares超級富時中國50基金,
XRAY,登士柏西諾德公司,醫療保健
XRT,SPDR標普零售ETF,
XRX,全錄控股公司,資訊科技
XSD,SPDR標普半導體ETF,
XT,iShares安碩指數型技術ETF,
XYL,Xylem公司,工業
XYLD,Global X S&P 500 Covered Call,
XYZ,布洛克公司,金融服務
YALA,Yalla Group Ltd,通訊服務
YANG,Direxion每日三倍放空富時中國,
YCS,ProShares UltraShort日圓,
YINN,Direxion每日富時中國多頭3倍股,
YUM,百勝餐飲,非必需消費品
Z,Zillow集團公司,房地產
ZBH,捷邁邦美控股公司,醫療保健
ZBRA,斑馬科技公司,資訊科技
ZETA,Zeta Global Holdings Corp,資訊科技
ZG,Zillow集團公司,房地產
ZION,齊昂銀行,金融服務
ZM,Zoom通訊有限公司,資訊科技
ZTS,碩騰股份有限公司,醫療保健
