股票名稱,代碼
諾瓦瓦克斯公司,NVAX
ＤｒａｆｔＫｉｎｇｓＩｎｃ,DKNG
威爾塔公司,WELL
Ａｓａｎａ公司,ASAN
ＵｂｉｑｕｉｔｉＩｎｃ,UI
ＮｕＨｏｌｄｉｎｇｓＬｔｄ,NU
康卡斯特,CMCSA
陸金所控股有限公司－ＡＤＲ,LU
Ｄｒｏｐｂｏｘ公司,DBX
ＣｏｉｎｂａｓｅＧｌｏｂａｌ公司,COIN
ＧｏｏｄＲｘＨｏｌｄｉｎｇｓＩｎｃ,GDRX
ＰａｌｏＡｌｔｏＮｅｔｗｏｒｋｓＩｎｃ,PANW
Ｎａｎｏ－ＸＩｍａｇｉｎｇＬｔｄ,NNOX
ＧｌｏｂａｌｓｔａｒＩｎｃ,GSAT
ＣｏｕｐａｎｇＩｎｃ,CPNG
ＥＶｇｏＩｎｃ,EVGO
安波福公開有限公司,APTV
西班伊靜水有限公司－ＡＤＲ,SBSW
ＶｉｋｉｎｇＴｈｅｒａｐｅｕｔｉｃｓ公司,VKTX
ＲｏｂｉｎｈｏｏｄＭａｒｋｅｔｓＩｎｃ,HOOD
ＴｅｍｐｕｓＡＩ公司,TEM
奧賴利汽車公司,ORLY
ＲＴＸ公司,RTX
Ｓａｂｒａ醫療保健不動產信託公司,SBRA
波音公司,BA
遊戲驛站公司,GME
繽趣公司,PINS
ＳｕｐｅｒＧｒｏｕｐ有限公司,SGHC
ＦＯＸ福斯,FOXA
ＴａｓｋＵＳＩｎｃ,TASK
ＳＥＳＡＩＣｏｒｐ,SES
西南航空,LUV
全州保險,ALL
安費諾,APH
數位不動產信託公司,DLR
廢棄物管理,WM
沃爾瑪百貨,WMT
Ｔ１Ｅｎｅｒｇｙ公司,TE
ＩｏｎＱＩｎｃ,IONQ
聯合航空控股公司,UAL
阿里巴巴－ＡＤＲ,BABA
卡薩瓦科學公司,SAVA
星座能源公司,CEG
小鵬汽車－ＡＤＲ,XPEV
網飛公司,NFLX
Ｆａｓｔｌｙ公司,FSLY
３Ｍ,MMM
麥格納國際公司,MGA
ＴｒａｗｓＰｈａｒｍａＩｎｃ,TRAW
美國航空集團,AAL
巴克萊集團－ＡＤＲ,BCS
洛克希德馬丁,LMT
諾斯洛普格拉曼,NOC
Ｓｎｏｗｆｌａｋｅ公司,SNOW
ＣａｓｔｏｒＭａｒｉｔｉｍｅＩｎｃ,CTRM
雅保公司,ALB
ＤｉａｎａＳｈｉｐｐｉｎｇＩｎｃ,DSX
極光移動有限公司－ＡＤＲ,JG
摩根士丹利,MS
高盛集團,GS
ＳｐｏｔｉｆｙＴｅｃｈｎｏｌｏｇｙＳＡ,SPOT
美國電塔,AMT
ＨＣＡＨｏｌｄｉｎｇｓＩｎｃ,HCA
Ｚｉｌｌｏｗ集團公司,ZG
Ｖｅｒｔｉｖ控股公司,VRT
紐蒙特公司,NEM
一元雜貨,DG
豐田汽車公司－ＡＤＲ,TM
Ｚｉｌｌｏｗ集團公司,Z
好市多,COST
Ｃｏｒｂｕｓ製藥控股公司,CRBP
波士頓科學公司,BSX
天然陽光產品公司,NATR
特斯拉公司,TSLA
富國銀行,WFC
Ｌ３哈里斯科技公司,LHX
ＵｉＰａｔｈＩｎｃ,PATH
Ｄａｔａｄｏｇ公司,DDOG
皇家加勒比國際游輪,RCL
必治妥施貴寶公司,BMY
ＤｏｏｒＤａｓｈ公司,DASH
奧多比系統公司,ADBE
ＺｅｔａＧｌｏｂａｌ,ZETA
Ｕｎｉｔｙ軟體公司,U
美超微電腦,SMCI
流動性服務公司,LQDT
派樂騰健康科技公司,PTON
Ｒｏｋｕ,ROKU
漢威聯合國際公司,HON
貝萊德公司,BLK
花旗集團,C
ＤｉｇｉｔａｌＯｃｅａｎ公司,DOCN
ＦｉｓｅｒｖＩｎｃ,FI
貓途鷹公司,TRIP
牛電科技－ＡＤＲ,NIU
ＳｋｙＷｅｓｔ航空,SKYW
通用動力,GD
環匯公司,GPN
文遠知行－ＡＤＲ,WRD
繽客控股公司,BKNG
阿斯特捷利康公開有限公司－ＡＤＲ,AZN
直覺外科公司,ISRG
ＮｅｘｔＥｒａＥｎｅｒｇｙＩｎｃ,NEE
福特汽車公司,F
名創優品集團控股有限公司－ＡＤＲ,MNSO
ＣｏｒｓａｉｒＧａｍｉｎｇＩｎｃ,CRSR
黑石公司,BX
ＧａｏｔｕＴｅｃｈｅｄｕＩｎｃ－ＡＤＲ,GOTU
ＱｕａｎｔａＳｅｒｖｉｃｅｓＩｎｃ,PWR
麥卡遜,MCK
拉斯維加斯金沙集團,LVS
ＡｌｐｈａｂｅｔＩｎｃ－Ｃ股,GOOG
銥星通訊,IRDM
Ｃｌｏｕｄｆｌａｒｅ公司,NET
禮來公司,LLY
馬賽里奇房產公司,MAC
穆迪,MCO
研控科技有限公司,RCON
智利化工礦業公司－ＡＤＲ,SQM
ＡｌｐｈａｂｅｔＩｎｃ－Ａ股,GOOGL
Ｃｅｌｅｓｔｉｃａ公司,CLS
福泰製藥公司,VRTX
阿拉斯加航空集團,ALK
美國水務公司,AWK
威士卡,V
美國銀行,BAC
洲際交易所,ICE
